username,rating,max_rating,rank,total_solved,hard_solved,top_tags,top_languages,contests
buchu,1313,1354,pupil,706,53,"greedy,math,implementation,constructive algorithms,brute force","C++20 (GCC 13-64),C++23 (GCC 14-64, msys2),C++20 (GCC 11-64)",93
Savin.Alexandru-Stefan,1383,1383,pupil,50,17,"greedy,math,dp,implementation,data structures","C++23 (GCC 14-64, msys2),C++17 (GCC 7-32),C++20 (GCC 13-64)",10
Atroush,1741,1741,expert,683,131,"greedy,math,implementation,constructive algorithms,brute force","C++23 (GCC 14-64, msys2),C++20 (GCC 13-64),C++17 (GCC 7-32)",97
MCJPSS,475,475,newbie,9,5,"implementation,math,brute force,greedy,bitmasks","C++23 (GCC 14-64, msys2)",1
arunkushwah595,1360,1360,pupil,49,1,"greedy,implementation,math,constructive algorithms,brute force",Java 8,14
inj,2083,2161,candidate master,342,133,"greedy,math,implementation,constructive algorithms,dp","C++20 (GCC 13-64),C++20 (GCC 11-64),C++17 (GCC 7-32)",36
familiarize,2277,2399,master,93,47,"greedy,math,implementation,dp,brute force",C++20 (GCC 13-64),12
ngonamduonghl,1576,1684,specialist,213,25,"implementation,math,greedy,brute force,dp","C++17 (GCC 7-32),GNU C++,GNU C++11",36
wuhupai,1615,1627,expert,430,276,"dp,greedy,math,dfs and similar,implementation","C++14 (GCC 6-32),C++20 (GCC 13-64),C++17 (GCC 9-64)",10
brij_f_s,1614,1614,expert,423,76,"greedy,math,brute force,sortings,implementation","C++17 (GCC 7-32),C++20 (GCC 13-64),C++23 (GCC 14-64, msys2)",27
q1w2e3r4_1,2437,2578,grandmaster,753,553,"greedy,math,dp,constructive algorithms,data structures","C++20 (GCC 13-64),C++23 (GCC 14-64, msys2),C++17 (GCC 7-32)",63
phxqwq,2285,2285,master,41,18,"greedy,math,dp,constructive algorithms,implementation","C++17 (GCC 7-32),C++20 (GCC 13-64)",9
Gawarr,1525,1789,specialist,566,92,"greedy,constructive algorithms,math,implementation,brute force","C++23 (GCC 14-64, msys2),C++17 (GCC 7-32),C++14 (GCC 6-32)",116
patelvinnu.112,,,,4,2,"math,strings,dp,brute force,binary search","Python 3,Java 21",0
shrey71,1826,1971,expert,575,109,"greedy,math,constructive algorithms,implementation,brute force","C++17 (GCC 7-32),C++23 (GCC 14-64, msys2),C++17 (GCC 9-64)",106
DuongNeverAlone,1905,2044,candidate master,696,247,"greedy,math,constructive algorithms,dp,implementation","C++23 (GCC 14-64, msys2),C++17 (GCC 7-32),C++20 (GCC 13-64)",165
akat,1855,2050,expert,615,245,"greedy,math,implementation,constructive algorithms,dp","GNU C++11,C++14 (GCC 6-32),GNU C++",160
Ilia_KH,1669,1673,expert,549,220,"greedy,math,implementation,constructive algorithms,dp","C++20 (GCC 13-64),C++23 (GCC 14-64, msys2),C++17 (GCC 7-32)",64
dnnnda,1797,1904,expert,236,61,"greedy,math,implementation,constructive algorithms,sortings","C++23 (GCC 14-64, msys2),C++17 (GCC 7-32),C++20 (GCC 13-64)",42
Adrox,1427,1443,specialist,554,40,"greedy,math,implementation,brute force,sortings","C++23 (GCC 14-64, msys2),C++17 (GCC 7-32),Python 3",27
aedmhsn2006,1879,1981,expert,878,400,"greedy,math,implementation,brute force,dp","C++23 (GCC 14-64, msys2),C++20 (GCC 13-64)",42
__ANTON__,1432,1432,specialist,110,9,"greedy,math,constructive algorithms,implementation,dp",C++17 (GCC 7-32),11
varunsahu_07,1403,1403,specialist,104,17,"greedy,math,implementation,dp,constructive algorithms","C++23 (GCC 14-64, msys2)",14
ct_unkwn,1457,1457,specialist,659,37,"math,greedy,implementation,brute force,dp","C++23 (GCC 14-64, msys2),C++20 (GCC 13-64)",48
hibou_soren_qwq,1709,1709,expert,86,41,"greedy,math,dp,constructive algorithms,data structures","C++23 (GCC 14-64, msys2)",12
Prixorfly,427,427,newbie,12,1,"greedy,math,strings,dp,combinatorics","C++23 (GCC 14-64, msys2)",1
Noorcoder,1525,1617,specialist,452,2,"greedy,math,implementation,constructive algorithms,brute force","C++17 (GCC 7-32),GNU C11,C++20 (GCC 13-64)",23
DIsForDeranged,1584,1615,specialist,131,32,"greedy,math,dp,constructive algorithms,implementation","C++23 (GCC 14-64, msys2)",12
kite1,1672,1750,expert,61,11,"greedy,math,constructive algorithms,implementation,dp","GNU C++11,C++17 (GCC 7-32),Java 8",18
bemagno,1390,1390,pupil,280,9,"implementation,math,greedy,brute force,strings","C++23 (GCC 14-64, msys2),C++17 (GCC 7-32)",14
paradox,2193,2193,master,603,245,"greedy,math,implementation,constructive algorithms,data structures","C++17 (GCC 7-32),C++20 (GCC 11-64),C++17 (GCC 9-64)",78
swaran21,926,926,newbie,9,1,"math,dp,dfs and similar,graphs,combinatorics",Java 21,2
Dragokj03,1851,2216,expert,720,289,"greedy,math,constructive algorithms,implementation,brute force","C++20 (GCC 11-64),C++20 (GCC 13-64),C++17 (GCC 7-32)",150
Kasane_Teto,2707,2707,international grandmaster,495,433,"dp,data structures,greedy,math,constructive algorithms","C++20 (GCC 13-64),C++23 (GCC 14-64, msys2),C++14 (GCC 6-32)",26
yangchang,2284,2312,master,501,378,"dp,data structures,greedy,math,constructive algorithms","C++20 (GCC 13-64),C++14 (GCC 6-32),C++23 (GCC 14-64, msys2)",14
K0NSTANT1N3,1441,1465,specialist,330,79,"implementation,greedy,math,constructive algorithms,dp","C++17 (GCC 7-32),C++20 (GCC 13-64),C++23 (GCC 14-64, msys2)",39
carboxylBase,1972,1994,candidate master,668,349,"greedy,math,dp,brute force,constructive algorithms","C++23 (GCC 14-64, msys2),C++20 (GCC 13-64)",42
mxq,1698,1698,expert,299,70,"math,greedy,implementation,dp,constructive algorithms","Python 3,PyPy 3-64,C++23 (GCC 14-64, msys2)",14
piaoyun,2197,2357,master,798,409,"greedy,math,dp,constructive algorithms,implementation","C++20 (GCC 13-64),C++20 (GCC 11-64),C++14 (GCC 6-32)",68
VitalyKo,2170,2170,master,245,96,"greedy,math,constructive algorithms,brute force,dp","C++20 (GCC 13-64),PyPy 3-64,C++17 (GCC 7-32)",73
mayersscott,1633,1633,expert,29,5,"greedy,math,implementation,dp,brute force","C++23 (GCC 14-64, msys2)",5
nebula,1924,1925,candidate master,816,273,"greedy,math,implementation,dp,brute force","C++20 (GCC 11-64),C++20 (GCC 13-64),C++23 (GCC 14-64, msys2)",87
MunkhturErdenebat,1884,1884,expert,547,62,"greedy,math,implementation,constructive algorithms,brute force","C++17 (GCC 7-32),Python 3,C++20 (GCC 13-64)",110
aminjon__,1762,1886,expert,477,210,"greedy,math,dp,constructive algorithms,implementation","C++23 (GCC 14-64, msys2),C++20 (GCC 13-64),C++17 (GCC 7-32)",158
black76,1527,1527,specialist,52,4,"math,greedy,constructive algorithms,dp,implementation","C++23 (GCC 14-64, msys2),C++20 (GCC 13-64)",15
Tanjiro_Kamado_069,1749,1922,expert,646,331,"greedy,math,constructive algorithms,dp,implementation","C++23 (GCC 14-64, msys2)",73
HotoKokoacpp,2098,2098,candidate master,219,66,"greedy,data structures,dp,math,constructive algorithms","C++23 (GCC 14-64, msys2),C++20 (GCC 11-64),C++20 (GCC 13-64)",9
neuhf,1569,1569,specialist,130,31,"greedy,math,constructive algorithms,brute force,implementation","C++17 (GCC 7-32),PyPy 3-64",17
Vimlendu2003,1899,1899,expert,226,35,"greedy,math,constructive algorithms,brute force,implementation",C++20 (GCC 13-64),58
Matvey_amogus228,1825,1841,expert,36,9,"greedy,math,constructive algorithms,implementation,brute force",C++20 (GCC 13-64),8
AhmedReda11,1634,1696,expert,808,203,"greedy,math,dp,constructive algorithms,implementation","C++20 (GCC 13-64),C++23 (GCC 14-64, msys2),C++17 (GCC 7-32)",82
Azm1t,1925,2162,candidate master,760,395,"greedy,math,dp,data structures,brute force","C++20 (GCC 11-64),C++20 (GCC 13-64),C++17 (GCC 7-32)",135
Andrew1234567890,1424,1647,specialist,410,33,"greedy,implementation,math,brute force,constructive algorithms","Python 3,C++23 (GCC 14-64, msys2),C++20 (GCC 11-64)",29
Nurislam-S-016-24,1878,1984,expert,187,44,"greedy,math,constructive algorithms,implementation,brute force","C++20 (GCC 13-64),C++20 (GCC 11-64),C++17 (GCC 7-32)",51
chennie,2306,2319,international master,650,341,"greedy,math,dp,implementation,constructive algorithms","C++17 (GCC 7-32),C++23 (GCC 14-64, msys2),C++20 (GCC 13-64)",94
maxphast,1535,1654,specialist,409,109,"greedy,math,implementation,dp,constructive algorithms","C++20 (GCC 13-64),C++23 (GCC 14-64, msys2),C++17 (GCC 7-32)",59
Nagasaki__Soyo,1733,1787,expert,73,31,"greedy,math,constructive algorithms,data structures,brute force","C++23 (GCC 14-64, msys2),Kotlin 2.2,C++20 (GCC 13-64)",6
zh0323zh,1672,1672,expert,333,39,"greedy,math,implementation,brute force,constructive algorithms","C++23 (GCC 14-64, msys2),C++20 (GCC 13-64),C++17 (GCC 7-32)",25
syysongyuyang,2133,2133,master,577,370,"math,greedy,data structures,dp,brute force","C++17 (GCC 9-64),C++14 (GCC 6-32),C++20 (GCC 11-64)",24
WindGuest,1956,1956,candidate master,172,45,"greedy,math,constructive algorithms,implementation,brute force","C++23 (GCC 14-64, msys2),C++17 (GCC 7-32)",25
lucky__389,1917,2139,candidate master,767,381,"greedy,math,constructive algorithms,dp,implementation","C++17 (GCC 7-32),C++20 (GCC 13-64),C++23 (GCC 14-64, msys2)",124
aayush.s1602,1660,1660,expert,81,4,"math,greedy,implementation,constructive algorithms,sortings","Python 3,C++17 (GCC 7-32)",24
zhuizhuzheming,748,922,newbie,30,0,"math,greedy,brute force,implementation,constructive algorithms",C++17 (GCC 7-32),33
1vegetable,1631,1631,expert,113,37,"greedy,math,constructive algorithms,implementation,sortings",C++20 (GCC 13-64),7
ermiababaie,1883,1895,expert,613,168,"greedy,math,implementation,dp,constructive algorithms","C++17 (GCC 7-32),C++17 (GCC 9-64),C++20 (GCC 13-64)",102
heccqwq,1370,1489,pupil,75,8,"greedy,math,implementation,sortings,dp","C++17 (GCC 7-32),C++20 (GCC 13-64),C++14 (GCC 6-32)",12
Azusa,1838,1868,expert,217,41,"greedy,math,constructive algorithms,implementation,brute force","PyPy 3-64,C++17 (GCC 7-32),C++20 (GCC 11-64)",31
imistiakalam344,,,,0,0,,,0
r.tanishq,1533,1533,specialist,381,2,"math,greedy,implementation,brute force,constructive algorithms",C++17 (GCC 7-32),33
Amirhossein90,895,1065,newbie,226,8,"implementation,math,greedy,strings,brute force","C++20 (GCC 13-64),C++23 (GCC 14-64, msys2),C++17 (GCC 7-32)",15
dxdy0630,1200,1200,pupil,203,56,"math,greedy,number theory,brute force,dp","C++23 (GCC 14-64, msys2),PyPy 3-64",7
honey,2126,2126,master,692,365,"math,greedy,dp,constructive algorithms,data structures","C++14 (GCC 6-32),C++17 (GCC 7-32),C++17 (GCC 9-64)",79
wszzxjdg,1775,1775,expert,33,7,"greedy,math,constructive algorithms,implementation,brute force",C++17 (GCC 7-32),8
Anny,2458,2458,grandmaster,765,556,"greedy,math,dp,data structures,brute force","C++20 (GCC 13-64),C++17 (GCC 7-32),C++20 (GCC 11-64)",53
LetianPie,1680,1680,expert,142,28,"greedy,math,constructive algorithms,implementation,brute force","C++20 (GCC 13-64),C++17 (GCC 7-32),C++20 (GCC 11-64)",21
Amaterasu1601,1768,1785,expert,700,202,"greedy,math,implementation,constructive algorithms,brute force","C++17 (GCC 7-32),C++20 (GCC 11-64),C++20 (GCC 13-64)",16
awooba,2232,2232,master,316,43,"implementation,math,greedy,brute force,constructive algorithms","C++23 (GCC 14-64, msys2),C++20 (GCC 13-64),C++17 (GCC 7-32)",19
MoonlightWarrior,1679,1679,expert,56,5,"math,greedy,implementation,brute force,constructive algorithms",PyPy 3-64,15
Max_s_xaM,2291,2291,master,640,505,"greedy,math,dp,data structures,constructive algorithms","C++14 (GCC 6-32),C++17 (GCC 7-32),C++17 (GCC 9-64)",33
cqrcqr,2540,2552,grandmaster,738,444,"dp,greedy,math,data structures,implementation","C++20 (GCC 13-64),C++20 (GCC 11-64),C++17 (GCC 7-32)",18
Shadow_,1394,1394,pupil,367,76,"greedy,math,implementation,constructive algorithms,brute force","C++20 (GCC 13-64),C++23 (GCC 14-64, msys2),PyPy 3-64",31
P.Diddy,731,731,newbie,6,0,"greedy,constructive algorithms,math,dfs and similar,trees",C++20 (GCC 13-64),1
Inari,2404,2431,grandmaster,137,57,"greedy,math,constructive algorithms,implementation,brute force","C++17 (GCC 7-32),C++20 (GCC 13-64),C++20 (GCC 11-64)",30
Nhrot,1383,1383,pupil,234,28,"greedy,implementation,math,constructive algorithms,brute force","C++17 (GCC 7-32),C++23 (GCC 14-64, msys2),C++20 (GCC 13-64)",13
chiranko,2249,2249,master,137,65,"greedy,math,constructive algorithms,implementation,dp","C++17 (GCC 9-64),C++20 (GCC 11-64),C++20 (GCC 13-64)",9
rishab.acharjee12345,1481,1481,specialist,50,3,"math,greedy,implementation,constructive algorithms,dp","C++20 (GCC 13-64),C++17 (GCC 7-32),Kotlin 2.2",7
lhcdx,2274,2274,master,152,93,"dp,greedy,math,constructive algorithms,brute force","C++14 (GCC 6-32),C++17 (GCC 7-32),C++17 (GCC 9-64)",15
beststolen,1848,1848,expert,80,30,"greedy,math,data structures,dp,brute force","C++17 (GCC 7-32),C++20 (GCC 13-64),C++23 (GCC 14-64, msys2)",9
Savan1407,1259,1395,pupil,24,0,"greedy,math,sortings,brute force,dp","C++23 (GCC 14-64, msys2)",9
Gold14526,2582,2582,grandmaster,893,831,"data structures,dp,math,greedy,trees","C++20 (GCC 13-64),C++17 (GCC 7-32),C++23 (GCC 14-64, msys2)",39
mohithsaisatya,1586,1586,specialist,183,18,"greedy,math,constructive algorithms,brute force,implementation","C++23 (GCC 14-64, msys2),C++20 (GCC 13-64),Kotlin 1.7",12
Shutcapybara,1493,1493,specialist,58,1,"greedy,implementation,math,sortings,constructive algorithms","PyPy 3-64,C++23 (GCC 14-64, msys2)",14
kaferius_cf,1792,1792,expert,87,7,"greedy,math,constructive algorithms,implementation,brute force","C++20 (GCC 13-64),PyPy 3-64,C++17 (GCC 7-32)",19
Megalosaurus.,1387,1481,pupil,629,127,"greedy,math,implementation,constructive algorithms,brute force","C++23 (GCC 14-64, msys2),C++17 (GCC 7-32),C++20 (GCC 11-64)",107
Mr_Turtle_,1875,2039,expert,709,116,"greedy,math,constructive algorithms,brute force,implementation","C++23 (GCC 14-64, msys2),C++20 (GCC 13-64),C++17 (GCC 7-32)",125
noahhb,2041,2041,candidate master,467,80,"greedy,math,implementation,brute force,constructive algorithms","C++17 (GCC 7-32),PyPy 3-64,Python 3",43
Shubh_wizard,1629,1641,expert,839,329,"greedy,math,implementation,dp,data structures","C++23 (GCC 14-64, msys2),C++17 (GCC 7-32)",54
mt19937,1970,1970,candidate master,917,355,"greedy,math,constructive algorithms,implementation,brute force","C++17 (GCC 7-32),C++20 (GCC 13-64),C++17 (GCC 9-64)",42
Kitschen,1328,1328,pupil,97,0,"implementation,greedy,math,brute force,constructive algorithms",C++20 (GCC 13-64),13
Monirul_65D,1292,1292,pupil,191,4,"implementation,math,greedy,brute force,sortings","C++23 (GCC 14-64, msys2),Kotlin 1.7",12
Mr_Redtime_Error,1540,1540,specialist,273,57,"greedy,math,constructive algorithms,implementation,brute force","C++23 (GCC 14-64, msys2)",14
adilkhan11,1437,1604,specialist,44,5,"greedy,implementation,math,brute force,strings","C++23 (GCC 14-64, msys2),C++20 (GCC 13-64),C++17 (GCC 7-32)",7
mamenta,1583,1632,specialist,565,41,"math,greedy,implementation,dp,brute force","C++20 (GCC 11-64),C++20 (GCC 13-64),C++14 (GCC 6-32)",25
the_only_noob,1816,2016,expert,676,141,"greedy,math,constructive algorithms,implementation,brute force","C++20 (GCC 13-64),C++20 (GCC 11-64),C++17 (GCC 7-32)",149
flying,2732,2732,international grandmaster,704,562,"math,dp,greedy,data structures,constructive algorithms","C++14 (GCC 6-32),C++20 (GCC 11-64),C++20 (GCC 13-64)",37
mb6ockatf,1227,1227,pupil,107,1,"implementation,math,greedy,strings,brute force","GNU C11,PyPy 3-64,C++20 (GCC 13-64)",11
garfield,1616,1625,expert,484,138,"greedy,math,implementation,brute force,constructive algorithms","C++23 (GCC 14-64, msys2),C++20 (GCC 13-64),PyPy 3-64",23
baldycape37,2356,2356,international master,490,142,"greedy,math,implementation,constructive algorithms,brute force",PyPy 3-64,16
kotatsugame,3307,3327,legendary grandmaster,1153,603,"greedy,math,dp,implementation,brute force",C++20 (GCC 13-64),200
SuSpect_911,1470,1470,specialist,261,7,"greedy,math,implementation,constructive algorithms,brute force","C++20 (GCC 13-64),C++20 (GCC 11-64),C++17 (GCC 7-32)",57
findingnewo,1670,1875,expert,77,25,"greedy,math,constructive algorithms,implementation,brute force","C++20 (GCC 13-64),C++23 (GCC 14-64, msys2)",11
MagicShow,2792,2792,international grandmaster,79,43,"greedy,math,constructive algorithms,dp,implementation","C++17 (GCC 7-32),C++23 (GCC 14-64, msys2),PyPy 3-64",15
Revuelto,2244,2244,master,79,33,"greedy,constructive algorithms,math,dp,brute force","C++20 (GCC 13-64),C++17 (GCC 7-32)",17
moneytrees,1735,1998,expert,617,206,"greedy,math,constructive algorithms,implementation,brute force","C++20 (GCC 13-64),C++23 (GCC 14-64, msys2),C++20 (GCC 11-64)",199
Danieldcv,1564,1564,specialist,851,221,"greedy,math,dp,data structures,brute force","C++23 (GCC 14-64, msys2),C++20 (GCC 13-64),C++17 (GCC 7-32)",15
chinases,1588,1588,specialist,50,2,"implementation,greedy,math,data structures,two pointers","C++23 (GCC 14-64, msys2),C++20 (GCC 13-64),PyPy 3",6
WiwiHo,2701,2714,international grandmaster,821,164,"greedy,math,*special,implementation,dp","C++20 (GCC 13-64),C++17 (GCC 9-64),C++20 (GCC 11-64)",111
MaiDoan,1585,1675,specialist,65,12,"greedy,math,implementation,dp,constructive algorithms","C++20 (GCC 13-64),C++17 (GCC 7-32)",12
piyushdey,1207,1207,pupil,13,0,"math,implementation,data structures,sortings,constructive algorithms","C++23 (GCC 14-64, msys2)",3
Gaurav_SK,1357,1457,pupil,97,2,"greedy,math,constructive algorithms,implementation,brute force",C++17 (GCC 7-32),36
parth89,1615,1615,expert,191,10,"greedy,implementation,math,constructive algorithms,brute force","C++17 (GCC 7-32),C++17 (GCC 9-64),Python 3",43
nu_l,1885,2016,expert,205,48,"greedy,math,constructive algorithms,implementation,brute force","C++17 (GCC 7-32),C++20 (GCC 13-64),C++20 (GCC 11-64)",53
ParveenSingh,1083,1083,newbie,535,42,"greedy,math,implementation,constructive algorithms,brute force","C++20 (GCC 13-64),C++23 (GCC 14-64, msys2),Kotlin 1.7",60
ffheeeMM,,,,40,5,"implementation,math,strings,greedy,brute force",C++17 (GCC 7-32),0
Cedar_Z,1507,1591,specialist,315,25,"greedy,math,constructive algorithms,implementation,brute force","C++20 (GCC 13-64),C++23 (GCC 14-64, msys2),C++17 (GCC 7-32)",64
VJung,418,418,newbie,11,2,"strings,greedy,dp,math,implementation","C++17 (GCC 7-32),C++20 (GCC 13-64)",1
kafuyuno,1646,1760,expert,522,41,"greedy,math,constructive algorithms,implementation,brute force","C++20 (GCC 13-64),PyPy 3-64,C++17 (GCC 7-32)",55
2-qiym,2026,2026,candidate master,549,177,"greedy,math,implementation,constructive algorithms,brute force","C++17 (GCC 7-32),C++17 (GCC 9-64),C++20 (GCC 13-64)",51
Siddardha__reddy,1275,1275,pupil,75,0,"greedy,implementation,math,brute force,strings","Java 8,Java 21,Python 3",24
nemutai,1773,1905,expert,694,188,"greedy,math,implementation,brute force,constructive algorithms","C++20 (GCC 13-64),C++17 (GCC 7-32),C++23 (GCC 14-64, msys2)",80
huanjua,2276,2276,master,272,92,"greedy,math,constructive algorithms,implementation,brute force","C++17 (GCC 7-32),C++20 (GCC 13-64),C++23 (GCC 14-64, msys2)",66
Cypress_t,1612,1704,expert,60,8,"greedy,math,constructive algorithms,sortings,games","C++20 (GCC 13-64),C++17 (GCC 7-32)",10
Ahad,1550,1696,specialist,829,217,"greedy,math,constructive algorithms,brute force,implementation","C++17 (GCC 7-32),C++23 (GCC 14-64, msys2),C++20 (GCC 13-64)",184
askr_58,2257,2350,master,276,105,"greedy,math,constructive algorithms,implementation,dp","C++23 (GCC 14-64, msys2),C++20 (GCC 11-64),C++20 (GCC 13-64)",37
bunhadasou,1451,1542,specialist,204,162,"data structures,dp,dfs and similar,graphs,trees","C++17 (GCC 7-32),C++14 (GCC 6-32),C++20 (GCC 13-64)",9
YoussefSobhy,1800,1800,expert,669,272,"greedy,math,dp,implementation,data structures","C++20 (GCC 13-64),C++23 (GCC 14-64, msys2)",110
Tumi_Dusto,1653,1653,expert,51,1,"greedy,math,constructive algorithms,implementation,sortings",C++17 (GCC 7-32),9
ymmparsa,2620,2859,international grandmaster,745,464,"math,greedy,dp,constructive algorithms,data structures","C++20 (GCC 11-64),C++23 (GCC 14-64, msys2),C++20 (GCC 13-64)",96
WillTheElk,1378,1378,pupil,243,66,"greedy,math,constructive algorithms,implementation,brute force","C++17 (GCC 7-32),C++20 (GCC 13-64),C++14 (GCC 6-32)",7
yangzichen1203,1574,1574,specialist,229,86,"greedy,math,implementation,brute force,data structures","C++23 (GCC 14-64, msys2),C++14 (GCC 6-32),C++17 (GCC 9-64)",7
sokian,1846,2516,expert,556,210,"implementation,math,greedy,dp,constructive algorithms","GNU C++11,C++17 (GCC 7-32),C++20 (GCC 11-64)",159
starrylasky,1794,1977,expert,467,391,"dp,math,data structures,greedy,constructive algorithms","C++14 (GCC 6-32),C++20 (GCC 11-64),C++17 (GCC 7-32)",17
ibrahim001,2127,2261,master,918,298,"greedy,math,implementation,brute force,constructive algorithms","C++20 (GCC 13-64),C++17 (GCC 9-64),C++17 (GCC 7-32)",226
Njust409IT,1372,1372,pupil,49,7,"greedy,math,constructive algorithms,implementation,brute force",C++17 (GCC 7-32),13
Hasan-Eslami,1917,1975,candidate master,299,135,"greedy,math,constructive algorithms,implementation,dp","C++20 (GCC 11-64),C++20 (GCC 13-64),C++23 (GCC 14-64, msys2)",42
Luis_AQM,1962,2067,candidate master,693,203,"greedy,math,dp,data structures,constructive algorithms","C++23 (GCC 14-64, msys2),C++20 (GCC 13-64)",50
iwnl,1547,1612,specialist,343,166,"greedy,math,dp,constructive algorithms,implementation","C++20 (GCC 13-64),C++17 (GCC 7-32)",33
mxj_helen,2337,2461,international master,487,311,"math,greedy,constructive algorithms,dp,data structures","C++20 (GCC 13-64),C++23 (GCC 14-64, msys2),C++17 (GCC 7-32)",104
EBeason,2163,2163,master,702,316,"greedy,math,implementation,data structures,dp","C++20 (GCC 13-64),C++17 (GCC 9-64),PyPy 3-64",64
snikithasid,1459,1459,specialist,812,48,"greedy,implementation,math,constructive algorithms,brute force","C++17 (GCC 7-32),C++14 (GCC 6-32),C++20 (GCC 13-64)",168
alternn,1782,1914,expert,666,477,"greedy,dp,math,data structures,brute force","C++17 (GCC 7-32),C++20 (GCC 13-64),C++23 (GCC 14-64, msys2)",69
prashanth_32,1366,1506,pupil,731,44,"greedy,math,implementation,constructive algorithms,brute force","C++17 (GCC 7-32),Python 3,PyPy 3",141
cauemb,1715,1715,expert,434,96,"greedy,math,implementation,brute force,constructive algorithms","C++17 (GCC 7-32),C++20 (GCC 13-64),C++23 (GCC 14-64, msys2)",23
yattri,1588,1588,specialist,33,0,"greedy,math,implementation,dp,strings","C++17 (GCC 7-32),C++20 (GCC 13-64)",10
tsunk,2126,2271,master,524,205,"greedy,math,implementation,brute force,constructive algorithms","C++20 (GCC 13-64),C++17 (GCC 7-32),C++14 (GCC 6-32)",37
Joobloobs,996,996,newbie,11,0,"math,constructive algorithms,implementation,binary search,two pointers","C++23 (GCC 14-64, msys2)",3
Samyajit125,1917,1917,candidate master,150,56,"greedy,math,implementation,constructive algorithms,brute force","Java 21,Java 8,Kotlin 1.7",28
Zain,1796,2247,expert,757,289,"greedy,math,constructive algorithms,implementation,brute force","C++20 (GCC 11-64),C++17 (GCC 7-32),GNU C++11",466
Pranav_SSS,1619,1678,expert,238,38,"greedy,implementation,math,brute force,constructive algorithms","C++17 (GCC 7-32),C++23 (GCC 14-64, msys2),PyPy 3-64",37
coder_Rashid,1243,1448,pupil,807,106,"greedy,math,implementation,brute force,constructive algorithms","C++17 (GCC 7-32),C++20 (GCC 13-64),Python 3",26
Addhyan,1186,1204,newbie,71,0,"implementation,math,strings,greedy,brute force","Java 21,C++23 (GCC 14-64, msys2),C++20 (GCC 13-64)",15
satyajit1206,1437,1516,specialist,761,174,"greedy,math,constructive algorithms,brute force,implementation","C++20 (GCC 13-64),C++23 (GCC 14-64, msys2),C++17 (GCC 7-32)",55
JoeyJ,2386,2386,international master,238,145,"greedy,math,data structures,dp,brute force","C++20 (GCC 13-64),C++14 (GCC 6-32),C++23 (GCC 14-64, msys2)",34
codeRahul,2003,2003,candidate master,286,48,"math,greedy,implementation,constructive algorithms,brute force","C++17 (GCC 7-32),C++23 (GCC 14-64, msys2),Kotlin 1.7",36
Unknown_9999,1654,1654,expert,484,50,"greedy,math,implementation,brute force,constructive algorithms","C++20 (GCC 13-64),C++17 (GCC 7-32),C++23 (GCC 14-64, msys2)",44
MysticMavericks,1894,1926,expert,520,109,"greedy,math,implementation,constructive algorithms,brute force","C++20 (GCC 13-64),GNU C11,C++17 (GCC 7-32)",46
tebiezhichu326c,2046,2059,candidate master,247,175,"data structures,dp,greedy,math,dfs and similar","C++20 (GCC 13-64),C++17 (GCC 7-32),C++23 (GCC 14-64, msys2)",7
akshit5638,1900,1900,candidate master,729,340,"greedy,math,dp,constructive algorithms,implementation","C++20 (GCC 11-64),C++20 (GCC 13-64),C++14 (GCC 6-32)",158
lucri,2224,2262,master,532,145,"math,greedy,dp,implementation,constructive algorithms","C++17 (GCC 7-32),C++23 (GCC 14-64, msys2),C++20 (GCC 13-64)",32
ShirayukiNoa,1891,2148,expert,603,261,"greedy,math,constructive algorithms,implementation,brute force","C++23 (GCC 14-64, msys2),C++17 (GCC 7-32),C++20 (GCC 13-64)",105
ryuk_baba,1813,1872,expert,73,13,"greedy,math,constructive algorithms,brute force,dp","Java 21,C++23 (GCC 14-64, msys2),GNU C11",20
Samsaara,1668,1706,expert,934,585,"greedy,math,dp,brute force,data structures","C++23 (GCC 14-64, msys2)",16
thribhuvan003,1597,1597,specialist,88,3,"implementation,math,greedy,brute force,sortings","C++23 (GCC 14-64, msys2),C++20 (GCC 13-64),C++17 (GCC 7-32)",13
FlashVS,1741,1842,expert,684,349,"greedy,math,constructive algorithms,implementation,brute force","C++23 (GCC 14-64, msys2),C++17 (GCC 7-32),C++20 (GCC 13-64)",124
MyK_00L,2072,2304,candidate master,526,218,"greedy,math,implementation,constructive algorithms,brute force","C++14 (GCC 6-32),C++17 (GCC 7-32),C++20 (GCC 11-64)",88
Runa_Inui,1926,2007,candidate master,160,36,"greedy,math,constructive algorithms,implementation,dp","C++23 (GCC 14-64, msys2)",21
kit27.bme48,1042,1166,newbie,24,2,"greedy,math,constructive algorithms,strings,implementation","Java 8,Java 21,PyPy 3",10
I_love_maxaxaxaxa,1959,2046,candidate master,460,153,"greedy,math,implementation,brute force,dp","C++20 (GCC 13-64),C++17 (GCC 7-32),C++23 (GCC 14-64, msys2)",111
Naman1005,1922,2014,candidate master,834,176,"greedy,math,implementation,constructive algorithms,dp","C++20 (GCC 13-64),C++17 (GCC 7-32),Kotlin 1.9",51
Milkcat2009,2527,2527,grandmaster,779,703,"dp,math,greedy,data structures,constructive algorithms","C++20 (GCC 13-64),C++17 (GCC 7-32),GNU C11",15
NeuralDocCrafter,1816,1816,expert,51,9,"greedy,math,implementation,dp,brute force","C++20 (GCC 13-64),C++17 (GCC 7-32),C++23 (GCC 14-64, msys2)",15
